iter	RMSE
257	3.410017287
258	3.408556394
259	3.405422907
260	3.40291831
261	3.402544487
262	3.400817273
263	3.39659937
264	3.395740374
265	3.395165558
266	3.394749642
267	3.389471478
268	3.389118604
269	3.383453375
270	3.380367309
271	3.376780312
272	3.375515829
273	3.372173407
274	3.371779632
275	3.367141992
276	3.366125253
277	3.361138267
278	3.360756625
279	3.358254739
280	3.357827813
281	3.356002838
282	3.354813144
283	3.352306504
284	3.347116507
285	3.344501579
286	3.34341217
287	3.343058278
288	3.340316084
289	3.339294747
290	3.338950117
291	3.336189847
292	3.332844107
293	3.332469185
294	3.327578941
295	3.325290663
296	3.32434279
297	3.321517327
298	3.320339866
299	3.316049455
300	3.315335042
301	3.311585782
302	3.310992011
303	3.309332327
304	3.306199329
305	3.304247944
306	3.302810548
307	3.300821823
308	3.296221037
309	3.292449336
310	3.29108587
311	3.287562118
312	3.28727258
313	3.286615545
314	3.283710008
315	3.280447493
316	3.276763158
317	3.275690796
318	3.27487414
319	3.271375663
320	3.268979709
321	3.268150344
322	3.26483175
323	3.264570561
324	3.259842033
325	3.256386946
326	3.256119911
327	3.25491655
328	3.252720546
329	3.248614258
330	3.248365814
331	3.246209872
332	3.241559551
333	3.240319027
334	3.237062849
335	3.235276427
336	3.232940476
337	3.230288704
338	3.228649825
339	3.227082218
340	3.223456707
341	3.221770348
342	3.220066688
343	3.219813349
344	3.216343042
345	3.214342623
346	3.213254288
347	3.211989983
348	3.206922333
349	3.202640194
350	3.198096522
351	3.197568782
352	3.194422465
353	3.19255972
354	3.187388742
355	3.184801244
356	3.183074196
357	3.180492007
358	3.179737749
359	3.177062548
360	3.174078729
361	3.17149014
362	3.168281139
363	3.165608869
364	3.165366136
365	3.165125556
366	3.161267388
367	3.158663138
368	3.156873395
369	3.156707711
370	3.154257476
371	3.151816935
372	3.150549038
373	3.148633262
374	3.145678774
375	3.143122954
376	3.13773228
377	3.135019785
378	3.133394525
379	3.131202627
380	3.128429244
381	3.127307311
382	3.12714521
383	3.125644659
384	3.12388527
385	3.123587739
386	3.121214281
387	3.117591624
388	3.115073263
389	3.112797084
390	3.111259242
391	3.108119442
392	3.107905466
393	3.107726069
394	3.104225439
395	3.102540372
396	3.099098457
397	3.094571055
398	3.093343106
399	3.089958555
400	3.089078392
401	3.086136167
402	3.08340656
403	3.082201835
404	3.079921764
405	3.078054495
406	3.077829071
407	3.076572392
408	3.073831474
409	3.069378271
410	3.066149839
411	3.063348803
412	3.061691983
413	3.059031253
414	3.055035691
415	3.054661132
416	3.050964654
417	3.046696119
418	3.044292426
419	3.043387763
420	3.03964364
421	3.037229807
422	3.034791817
423	3.033839096
424	3.033203337
425	3.030465262
426	3.028195411
427	3.027906569
428	3.025639092
429	3.023060339
430	3.020481487
431	3.019364473
432	3.018409075
433	3.01704535
434	3.014734374
435	3.011276972
436	3.01110754
437	3.009649067
438	3.008468405
439	3.005915289
440	3.004022788
441	3.003591802
442	3.001679648
443	2.998665798
444	2.996727555
445	2.992237348
446	2.991864502
447	2.988042396
448	2.986566343
449	2.985200051
450	2.983957458
451	2.983706411
452	2.983107252
453	2.982982132
454	2.979815852
455	2.976965905
456	2.975701324
457	2.971818077
458	2.96905277
459	2.968778118
460	2.965071208
461	2.96233503
462	2.959800212
463	2.95740662
464	2.955004858
465	2.952443589
466	2.951009241
467	2.949762132
468	2.948844433
469	2.946270238
470	2.944330662
471	2.941649946
472	2.940821302
473	2.938258459
474	2.934103702
475	2.933810856
476	2.931672253
477	2.929489735
478	2.928286311
479	2.926008798
480	2.923560222
481	2.9210553
482	2.918973296
483	2.915790921
484	2.915333803
485	2.913304572
486	2.910496965
487	2.907811715
488	2.906142304
489	2.906017725
490	2.905225674
491	2.903797374
492	2.903222459
493	2.901643404
494	2.89820729
495	2.897031131
496	2.895064008
497	2.891433223
498	2.89034738
499	2.890131902
500	2.887322513
501	2.886186039
502	2.885256008
503	2.883847719
504	2.883589819
505	2.880978465
506	2.878099482
507	2.877847207
508	2.877612464
509	2.876271892
510	2.874116493
511	2.870744198
512	2.869191172
513	2.868082968
514	2.867851543
515	2.865868699
516	2.865341144
517	2.863862101
518	2.861303481
519	2.858383912
520	2.858127578
521	2.856281812
522	2.85606586
523	2.853498667
524	2.853039202
525	2.851292451
526	2.850724717
527	2.848001978
528	2.847839266
529	2.846237254
530	2.84374224
531	2.840491468
532	2.840347136
533	2.840110264
534	2.838168608
535	2.835978246
536	2.833566681
537	2.831316694
538	2.831130625
539	2.828312841
540	2.828180949
541	2.826159325
542	2.824828954
543	2.824712007
544	2.822341538
545	2.820588978
546	2.820364004
547	2.820215663
548	2.818657157
549	2.817221777
550	2.814911321
551	2.812703409
552	2.811359766
553	2.809634327
554	2.808114616
555	2.804975698
556	2.802415006
557	2.801377164
558	2.79871638
559	2.797705605
560	2.796602342
561	2.794842895
562	2.794491594
563	2.792705875
564	2.790399866
565	2.78925587
566	2.788057569
567	2.785961227
568	2.78572191
569	2.783322883
570	2.783180733
571	2.780638996
572	2.777570844
573	2.775901922
574	2.774092164
575	2.771802524
576	2.768291381
577	2.765372111
578	2.762196821
579	2.760498919
580	2.758882893
581	2.756650205
582	2.755831489
583	2.753470426
584	2.749820494
585	2.747790567
586	2.744712221
587	2.743505316
588	2.741979876
589	2.741090725
590	2.740838029
591	2.739991376
592	2.73856198
593	2.737181216
594	2.736410434
595	2.7343593
596	2.734257057
597	2.732679754
598	2.731999208
599	2.729995273
600	2.727888154
601	2.725828908
602	2.723201853
603	2.721589803
604	2.719539283
605	2.718247378
606	2.717298024
607	2.715123323
608	2.714709447
609	2.71326009
610	2.711411568
611	2.710687922
612	2.709419239
613	2.708152083
614	2.707172507
615	2.705679017
616	2.705472262
617	2.702183807
618	2.700940677
619	2.697427905
620	2.695501853
621	2.692548706
622	2.691885724
623	2.688250127
624	2.686607671
625	2.686255463
626	2.684566683
627	2.681662697
628	2.679437448
629	2.678175722
630	2.676966925
631	2.675116697
632	2.673291957
633	2.671590701
634	2.671384141
635	2.669896294
636	2.668927882
637	2.668733598
638	2.666921172
639	2.66677549
640	2.664975855
641	2.663983565
642	2.663829447
643	2.660879252
644	2.660278705
645	2.660080138
646	2.657469204
647	2.656529197
648	2.655618657
649	2.65415966
650	2.654012184
651	2.652305618
652	2.65030227
653	2.649479207
654	2.647585564
655	2.646108289
656	2.645132697
657	2.643437094
658	2.641902577
659	2.639940223
660	2.639770316
661	2.637974379
662	2.636056474
663	2.633621601
664	2.632419157
665	2.630862035
666	2.62838943
667	2.628028608
668	2.627849635
669	2.627542868
